date,description,amount_clp,tx_type,category,is_gasto_hormiga
10/11/2025,MERCADOPAGO *MERCADOL,11990,COMPRA_ECOMMERCE,E_COMMERCE,0
10/11/2025,Compra MERCADOPAGO *PANI,1380,COMPRA,E_COMMERCE,1
10/11/2025,Compra PANALERA LAFKEN,1990,COMPRA,SUPERMERCADO_MINIMARKET,1
10/11/2025,Compra RedGloba*MI CUMPL,2500,COMPRA,OTRAS_COMPRAS,1
10/11/2025,Compra MERCADOPAGO *PUNT,2990,COMPRA,E_COMMERCE,1
10/11/2025,Compra LOS LAURELES,7950,COMPRA,RESTAURANTE_CAFE,0
10/11/2025,Compra STA ISABEL CURACA,10340,COMPRA,SUPERMERCADO_MINIMARKET,0
10/11/2025,0182926205 Transf a Danie,20100,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
11/11/2025,0124580471 Transf a Fredd,1500,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
11/11/2025,Compra STA ISABEL CURACA,4190,COMPRA,SUPERMERCADO_MINIMARKET,1
11/11/2025,Compra MERCADOPAGO *CAZA,7300,COMPRA,E_COMMERCE,0
11/11/2025,0124580471 Transf a Fredd,30000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
12/11/2025,Compra DIMOVA SPA,4000,COMPRA,OTRAS_COMPRAS,1
12/11/2025,0212057746 Transf a Sofia,5790,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
12/11/2025,018634247K Transf a Seba,7000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
13/11/2025,Compra RedGloba*TORRES S,2500,COMPRA,OTRAS_COMPRAS,1
13/11/2025,Compra HAULMER*AGRO TURI,4500,COMPRA,OTRAS_COMPRAS,1
13/11/2025,Compra MERCADOPAGO *PUNT,4580,COMPRA,E_COMMERCE,1
13/11/2025,0186343034 Transf a Rober,20000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
14/11/2025,Compra SBA CURACAVI O HI,3000,COMPRA,SUPERMERCADO_MINIMARKET,1
14/11/2025,Compra STA ISABEL CURACA,3600,COMPRA,SUPERMERCADO_MINIMARKET,1
14/11/2025,Compra EL POETA 2.0,4800,COMPRA,RESTAURANTE_CAFE,1
14/11/2025,Compra midasbuy.com,4829,COMPRA,SUSCRIPCION_DIGITAL,1
17/11/2025,0119469384 Transf. CARREN,3500,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
17/11/2025,0144784324 Transf. FARIAS,20000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
17/11/2025,Compra SBA CURACAVI O HI,1950,COMPRA,SUPERMERCADO_MINIMARKET,1
17/11/2025,Compra MERCADOPAGO *PANI,2750,COMPRA,E_COMMERCE,1
17/11/2025,Compra SBA CURACAVI O HI,2950,COMPRA,SUPERMERCADO_MINIMARKET,1
17/11/2025,Compra EL POETA 2.0,4000,COMPRA,RESTAURANTE_CAFE,1
17/11/2025,0159936716 Transf a Fatim,6000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
17/11/2025,Compra UNIMARC CURACAVI,6180,COMPRA,SUPERMERCADO_MINIMARKET,0
17/11/2025,Compra STA ISABEL CURACA,6660,COMPRA,SUPERMERCADO_MINIMARKET,0
17/11/2025,Compra MERCADOPAGO *PUNT,6770,COMPRA,E_COMMERCE,0
17/11/2025,Compra PAGO ONLINE KUSHK,16150,COMPRA,E_COMMERCE,0
17/11/2025,0202438725 Transf a Franc,26000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
18/11/2025,0124580471 Transf a Fredd,1500,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
18/11/2025,Compra MERCADOPAGO *PUNT,3780,COMPRA,E_COMMERCE,1
18/11/2025,0203350856 Transf a Nicol,4000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
18/11/2025,Compra EL POETA 2.0,4000,COMPRA,RESTAURANTE_CAFE,1
18/11/2025,Compra COMERCIAL FELIPE,10000,COMPRA,RESTAURANTE_CAFE,0
19/11/2025,Compra STA ISABEL CURACA,8480,COMPRA,SUPERMERCADO_MINIMARKET,0
20/11/2025,Compra TWITCH,3570,COMPRA,SUSCRIPCION_DIGITAL,1
21/11/2025,Compra GOOGLE PLAY YOUTU,2500,COMPRA,SUSCRIPCION_DIGITAL,1
21/11/2025,Compra HUEVOCENTER,3300,COMPRA,SUPERMERCADO_MINIMARKET,1
21/11/2025,018905937K Transf a Beni,30000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
24/11/2025,Compra EL POETA 2.0,2000,COMPRA,RESTAURANTE_CAFE,1
24/11/2025,Compra MERCADOPAGO *PUNT,2290,COMPRA,E_COMMERCE,1
24/11/2025,Compra STA ISABEL CURACA,2490,COMPRA,SUPERMERCADO_MINIMARKET,1
24/11/2025,Compra MERCADOPAGO *PUNT,2990,COMPRA,E_COMMERCE,1
24/11/2025,Compra LUZ CATALAN,7800,COMPRA,SERVICIOS,0
24/11/2025,018905937K Transf a Beni,30000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
25/11/2025,Compra MERCADOPAGO *PUNT,2190,COMPRA,E_COMMERCE,1
25/11/2025,Compra SOCIEDAD SCORPIO,2600,COMPRA,OTRAS_COMPRAS,1
25/11/2025,Compra SBA CURACAVI O HI,3000,COMPRA,SUPERMERCADO_MINIMARKET,1
27/11/2025,0124580471 Transf a Fredd,1500,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
28/11/2025,0126317352 Transf de JUAN,10000,TRANSFERENCIA_RECIBIDA,TRANSFERENCIA_ENTRANTE,0
28/11/2025,0199961055 Transf a Diego,5000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
28/11/2025,Giro en Cajero Automatico,5000,GIRO_ATM,EFECTIVO,0
