date,description,amount_clp,category,merchant
2025-09-18T12:00:00.000Z,"Salud · CONSULTA MÉDICA",-232.69,"Salud","CONSULTA MÉDICA"
2025-09-18T16:24:00.000Z,"Salud · AHUMADA",-222.6,"Salud","AHUMADA"
2025-09-18T20:43:00.000Z,"Alimentación · UNIMARC",-178.16,"Alimentación","UNIMARC"
2025-09-19T20:18:00.000Z,"Entretenimiento · CINEMARK",-197.57,"Entretenimiento","CINEMARK"
2025-09-19T20:31:00.000Z,"Alimentación · MINIMARKET",-341.02,"Alimentación","MINIMARKET"
2025-09-20T00:29:00.000Z,"Alimentación · TOTTUS",-93.67,"Alimentación","TOTTUS"
2025-09-20T16:53:00.000Z,"Alimentación · TOTTUS",-287.71,"Alimentación","TOTTUS"
2025-09-20T19:37:00.000Z,"Servicios · MOVISTAR",-354.77,"Servicios","MOVISTAR"
2025-09-20T21:41:00.000Z,"Salud · CONSULTA MÉDICA",-48.85,"Salud","CONSULTA MÉDICA"
2025-09-21T14:36:00.000Z,"Alimentación · JUMBO",-72.56,"Alimentación","JUMBO"
2025-09-21T17:07:00.000Z,"Restaurantes · CAFETERÍA",-92.93,"Restaurantes","CAFETERÍA"
2025-09-22T00:06:00.000Z,"Servicios · AGUAS",-562.1,"Servicios","AGUAS"
2025-09-22T11:26:00.000Z,"Transporte · RED METRO",-13.41,"Transporte","RED METRO"
2025-09-22T14:19:00.000Z,"Salud · CRUZ VERDE",-255.8,"Salud","CRUZ VERDE"
2025-09-22T14:50:00.000Z,"Restaurantes · KFC",-174.77,"Restaurantes","KFC"
2025-09-23T22:39:00.000Z,"Alimentación · TOTTUS",-272.84,"Alimentación","TOTTUS"
2025-09-25T20:25:00.000Z,"Transporte · DIDI",-68.19,"Transporte","DIDI"
2025-09-25T20:52:00.000Z,"Servicios · WOM",-183.95,"Servicios","WOM"
2025-09-26T20:28:00.000Z,"Entretenimiento · NETFLIX",-188.63,"Entretenimiento","NETFLIX"
2025-09-27T11:32:00.000Z,"Restaurantes · CAFETERÍA",-104.73,"Restaurantes","CAFETERÍA"
2025-09-27T14:49:00.000Z,"Entretenimiento · SPOTIFY",-170.76,"Entretenimiento","SPOTIFY"
2025-09-27T21:32:00.000Z,"Restaurantes · KFC",-213.16,"Restaurantes","KFC"
2025-09-29T00:16:00.000Z,"Entretenimiento · CINEHOYTS",-73.01,"Entretenimiento","CINEHOYTS"
2025-10-01T14:40:00.000Z,"Servicios · CLARO",-337.99,"Servicios","CLARO"
2025-10-03T00:22:00.000Z,"Alimentación · UNIMARC",-151.09,"Alimentación","UNIMARC"
2025-10-03T22:06:00.000Z,"Salud · CONSULTA MÉDICA",-104.88,"Salud","CONSULTA MÉDICA"
2025-10-06T11:08:00.000Z,"Entretenimiento · STEAM",-186.72,"Entretenimiento","STEAM"
2025-10-07T13:12:00.000Z,"Transporte · PETROBRAS",-60.19,"Transporte","PETROBRAS"
2025-10-09T18:29:00.000Z,"Salud · CONSULTA MÉDICA",-269.72,"Salud","CONSULTA MÉDICA"
2025-10-09T20:37:00.000Z,"Transporte · PETROBRAS",-113.52,"Transporte","PETROBRAS"
2025-10-11T01:11:00.000Z,"Servicios · AGUAS",-170.87,"Servicios","AGUAS"
2025-10-12T14:55:00.000Z,"Transporte · UBER",-132.29,"Transporte","UBER"
2025-10-12T22:37:00.000Z,"Transporte · COPEC",-131.58,"Transporte","COPEC"
2025-10-13T16:32:00.000Z,"Servicios · AGUAS",-436.08,"Servicios","AGUAS"
2025-10-13T22:58:00.000Z,"Transporte · COPEC",-138.95,"Transporte","COPEC"
2025-10-15T12:14:00.000Z,"Servicios · ENTEL",-363.1,"Servicios","ENTEL"
2025-10-15T22:58:00.000Z,"Alimentación · UNIMARC",-174.05,"Alimentación","UNIMARC"
2025-10-16T01:36:00.000Z,"Transporte · RED METRO",-60.07,"Transporte","RED METRO"
2025-10-17T01:45:00.000Z,"Salud · CONSULTA MÉDICA",-23.51,"Salud","CONSULTA MÉDICA"
2025-10-17T14:03:00.000Z,"Salud · AHUMADA",-90.57,"Salud","AHUMADA"
2025-10-17T16:59:00.000Z,"Restaurantes · DOMINO'S",-83.59,"Restaurantes","DOMINO'S"
2025-10-17T19:30:00.000Z,"Servicios · VTR",-91.46,"Servicios","VTR"
2025-10-21T14:08:00.000Z,"Salud · AHUMADA",-234.58,"Salud","AHUMADA"
2025-10-21T18:10:00.000Z,"Servicios · VTR",-156.05,"Servicios","VTR"
2025-10-22T11:17:00.000Z,"Salud · CRUZ VERDE",-121.47,"Salud","CRUZ VERDE"
2025-10-22T12:18:00.000Z,"Restaurantes · SUSHI",-135.85,"Restaurantes","SUSHI"
2025-10-23T13:22:00.000Z,"Transporte · COPEC",-147.42,"Transporte","COPEC"
2025-10-23T17:21:00.000Z,"Alimentación · SANTA ISABEL",-201.1,"Alimentación","SANTA ISABEL"
2025-10-23T18:29:00.000Z,"Transporte · DIDI",-105.14,"Transporte","DIDI"
2025-10-24T13:09:00.000Z,"Salud · SALCOBRAND",-64.34,"Salud","SALCOBRAND"
2025-10-25T14:38:00.000Z,"Restaurantes · MCDONALD'S",-63.77,"Restaurantes","MCDONALD'S"
2025-10-27T17:31:00.000Z,"Servicios · CLARO",-151.42,"Servicios","CLARO"
2025-10-27T21:55:00.000Z,"Restaurantes · DOMINO'S",-125.19,"Restaurantes","DOMINO'S"
2025-10-27T23:47:00.000Z,"Entretenimiento · SPOTIFY",-198.02,"Entretenimiento","SPOTIFY"
2025-10-28T16:05:00.000Z,"Transporte · CABIFY",-58.29,"Transporte","CABIFY"
2025-10-28T20:29:00.000Z,"Servicios · VTR",-391.98,"Servicios","VTR"
2025-10-28T23:49:00.000Z,"Alimentación · UNIMARC",-297.28,"Alimentación","UNIMARC"
2025-10-29T13:43:00.000Z,"Servicios · VTR",-532.3,"Servicios","VTR"
2025-10-29T21:56:00.000Z,"Entretenimiento · CINEMARK",-101.4,"Entretenimiento","CINEMARK"
2025-10-29T23:40:00.000Z,"Alimentación · SANTA ISABEL",-198.26,"Alimentación","SANTA ISABEL"
2025-10-30T13:24:00.000Z,"Restaurantes · KFC",-77.29,"Restaurantes","KFC"
2025-10-30T23:40:00.000Z,"Salud · SALCOBRAND",-165.42,"Salud","SALCOBRAND"
2025-10-31T13:18:00.000Z,"Entretenimiento · SPOTIFY",-149.83,"Entretenimiento","SPOTIFY"
2025-11-01T21:25:00.000Z,"Entretenimiento · CINEHOYTS",-186.91,"Entretenimiento","CINEHOYTS"
2025-11-02T00:22:00.000Z,"Entretenimiento · CINEMARK",-173.04,"Entretenimiento","CINEMARK"
2025-11-04T14:30:00.000Z,"Restaurantes · DOMINO'S",-217.94,"Restaurantes","DOMINO'S"
2025-11-04T17:04:00.000Z,"Entretenimiento · STEAM",-127.48,"Entretenimiento","STEAM"
2025-11-05T01:54:00.000Z,"Entretenimiento · CINEMARK",-71.21,"Entretenimiento","CINEMARK"
2025-11-06T15:04:00.000Z,"Entretenimiento · STEAM",-185.41,"Entretenimiento","STEAM"
2025-11-06T16:03:00.000Z,"Alimentación · JUMBO",-317.1,"Alimentación","JUMBO"
2025-11-07T15:58:00.000Z,"Alimentación · TOTTUS",-255.19,"Alimentación","TOTTUS"
2025-11-07T17:41:00.000Z,"Entretenimiento · CINEMARK",-179.46,"Entretenimiento","CINEMARK"
2025-11-08T00:29:00.000Z,"Alimentación · LIDER",-120.44,"Alimentación","LIDER"
2025-11-08T11:43:00.000Z,"Salud · CONSULTA MÉDICA",-26.44,"Salud","CONSULTA MÉDICA"
2025-11-08T16:35:00.000Z,"Transporte · RED METRO",-14.02,"Transporte","RED METRO"
2025-11-08T22:17:00.000Z,"Salud · SALCOBRAND",-238.12,"Salud","SALCOBRAND"
2025-11-09T22:02:00.000Z,"Salud · CONSULTA MÉDICA",-41.56,"Salud","CONSULTA MÉDICA"
2025-11-09T23:52:00.000Z,"Entretenimiento · NETFLIX",-152.98,"Entretenimiento","NETFLIX"
2025-11-10T00:05:00.000Z,"Alimentación · UNIMARC",-322.56,"Alimentación","UNIMARC"
2025-11-10T13:16:00.000Z,"Restaurantes · DOMINO'S",-62.16,"Restaurantes","DOMINO'S"
2025-11-10T19:15:00.000Z,"Salud · SALCOBRAND",-47.95,"Salud","SALCOBRAND"
2025-11-10T22:36:00.000Z,"Salud · CONSULTA MÉDICA",-87.78,"Salud","CONSULTA MÉDICA"
2025-11-11T21:00:00.000Z,"Entretenimiento · NETFLIX",-195.36,"Entretenimiento","NETFLIX"
2025-11-11T21:35:00.000Z,"Salud · CRUZ VERDE",-32.64,"Salud","CRUZ VERDE"
2025-11-13T13:43:00.000Z,"Servicios · VTR",-258.82,"Servicios","VTR"
2025-11-14T18:13:00.000Z,"Entretenimiento · CINEMARK",-90.4,"Entretenimiento","CINEMARK"
2025-11-14T19:47:00.000Z,"Entretenimiento · SPOTIFY",-120.54,"Entretenimiento","SPOTIFY"
2025-11-15T21:47:00.000Z,"Restaurantes · DOMINO'S",-98.35,"Restaurantes","DOMINO'S"
2025-11-16T22:35:00.000Z,"Restaurantes · KFC",-71.79,"Restaurantes","KFC"
2025-11-17T17:41:00.000Z,"Entretenimiento · STEAM",-178.48,"Entretenimiento","STEAM"
2025-11-17T21:26:00.000Z,"Transporte · COPEC",-84.38,"Transporte","COPEC"
2025-11-17T22:26:00.000Z,"Restaurantes · SUSHI",-244.45,"Restaurantes","SUSHI"
2025-11-18T23:59:00.000Z,"Restaurantes · DOMINO'S",-233.54,"Restaurantes","DOMINO'S"
2025-11-19T00:00:00.000Z,"Servicios · WOM",-210.09,"Servicios","WOM"
2025-11-19T00:13:00.000Z,"Salud · CRUZ VERDE",-189.84,"Salud","CRUZ VERDE"
2025-11-19T22:59:00.000Z,"Servicios · CLARO",-212.86,"Servicios","CLARO"
2025-11-19T23:46:00.000Z,"Servicios · ENEL",-113.99,"Servicios","ENEL"
2025-11-20T13:05:00.000Z,"Transporte · PETROBRAS",-29.44,"Transporte","PETROBRAS"
2025-11-20T14:31:00.000Z,"Transporte · RED METRO",-44.75,"Transporte","RED METRO"
2025-11-21T13:48:00.000Z,"Entretenimiento · SPOTIFY",-74.36,"Entretenimiento","SPOTIFY"
2025-11-21T14:30:00.000Z,"Transporte · DIDI",-130.03,"Transporte","DIDI"
2025-11-23T16:59:00.000Z,"Restaurantes · CAFETERÍA",-153.22,"Restaurantes","CAFETERÍA"
2025-11-23T22:13:00.000Z,"Alimentación · JUMBO",-225.57,"Alimentación","JUMBO"
2025-11-24T21:00:00.000Z,"Entretenimiento · NETFLIX",-76.88,"Entretenimiento","NETFLIX"
2025-11-26T12:27:00.000Z,"Entretenimiento · NETFLIX",-31.01,"Entretenimiento","NETFLIX"
2025-11-26T20:57:00.000Z,"Servicios · ENEL",-552.97,"Servicios","ENEL"
2025-11-26T21:03:00.000Z,"Salud · CRUZ VERDE",-289.31,"Salud","CRUZ VERDE"
2025-11-29T23:26:00.000Z,"Entretenimiento · STEAM",-143.35,"Entretenimiento","STEAM"
2025-11-30T16:46:00.000Z,"Alimentación · MINIMARKET",-233.5,"Alimentación","MINIMARKET"
2025-11-30T22:53:00.000Z,"Salud · CRUZ VERDE",-192.19,"Salud","CRUZ VERDE"
2025-12-01T00:37:00.000Z,"Servicios · CLARO",-424.31,"Servicios","CLARO"
2025-12-02T11:57:00.000Z,"Servicios · ENTEL",-515.41,"Servicios","ENTEL"
